Row ID;Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Segment;Postal Code;Product ID;Sales;Quantity;Discount;Profit
14;CA-2020-167199;06/01/2020;10/01/2020;Standard Class;ME-17320;Home Office;42420;OFF-PA-10000955;6.54;1;0.0;3.0084
15;CA-2020-105417;07/01/2020;12/01/2020;Standard Class;VS-21820;Consumer;77340;FUR-FU-10004864;76.728;3;0.6;-53.7096
16;CA-2020-105417;07/01/2020;12/01/2020;Standard Class;VS-21820;Consumer;77340;OFF-BI-10003708;10.43;7;0.8;-18.2525
17;CA-2020-135405;09/01/2020;13/01/2020;Standard Class;MS-17830;Consumer;78041;OFF-AR-10004078;9.344;2;0.2;1.168
18;CA-2020-135405;09/01/2020;13/01/2020;Standard Class;MS-17830;Consumer;78041;TEC-AC-10001266;31.2;3;0.2;9.75
19;CA-2020-149020;10/01/2020;15/01/2020;Standard Class;AJ-10780;Corporate;22153;OFF-LA-10004272;2.89;1;0.0;1.3583
20;CA-2020-149020;10/01/2020;15/01/2020;Standard Class;AJ-10780;Corporate;22153;FUR-FU-10000965;51.94;1;0.0;21.2954
21;CA-2020-130092;11/01/2020;14/01/2020;First Class;SV-20365;Consumer;19901;FUR-FU-10000010;9.94;2;0.0;3.0814
22;CA-2020-109232;13/01/2020;16/01/2020;Second Class;ND-18370;Consumer;29464;FUR-CH-10000422;545.94;6;0.0;87.3504
23;CA-2020-118192;13/01/2020;18/01/2020;Standard Class;MM-17920;Consumer;43055;OFF-PA-10002947;37.408;7;0.2;13.0928
24;CA-2020-118192;13/01/2020;18/01/2020;Standard Class;MM-17920;Consumer;43055;OFF-BI-10003476;3.438;2;0.7;-2.5212
25;CA-2020-157147;13/01/2020;18/01/2020;Standard Class;BD-11605;Consumer;94109;OFF-ST-10000078;1325.85;5;0.0;238.653
26;CA-2020-157147;13/01/2020;18/01/2020;Standard Class;BD-11605;Consumer;94109;FUR-BO-10003034;333.999;3;0.15;3.9294
27;CA-2020-157147;13/01/2020;18/01/2020;Standard Class;BD-11605;Consumer;94109;OFF-AR-10003514;19.9;5;0.0;6.567
28;CA-2020-162775;13/01/2020;15/01/2020;Second Class;CS-12250;Corporate;71111;OFF-EN-10001990;11.36;2;0.0;5.3392
29;CA-2020-162775;13/01/2020;15/01/2020;Second Class;CS-12250;Corporate;71111;OFF-EN-10001532;50.94;3;0.0;25.47
30;CA-2020-162775;13/01/2020;15/01/2020;Second Class;CS-12250;Corporate;71111;TEC-AC-10003174;646.74;6;0.0;258.696
31;CA-2020-162775;13/01/2020;15/01/2020;Second Class;CS-12250;Corporate;71111;OFF-BI-10004187;5.64;3;0.0;2.7072
32;CA-2020-162775;13/01/2020;15/01/2020;Second Class;CS-12250;Corporate;71111;OFF-ST-10000025;572.58;6;0.0;34.3548
33;CA-2020-149524;14/01/2020;15/01/2020;First Class;BS-11590;Corporate;19140;FUR-BO-10003433;61.96;4;0.5;-53.2856
34;CA-2020-103366;15/01/2020;17/01/2020;First Class;EH-13990;Consumer;30076;TEC-AC-10003628;149.95;5;0.0;65.978
35;CA-2020-115791;16/01/2020;18/01/2020;Second Class;DL-13315;Consumer;19134;FUR-FU-10001095;127.104;6;0.2;28.5984
36;CA-2020-115791;16/01/2020;18/01/2020;Second Class;DL-13315;Consumer;19134;TEC-PH-10004614;124.2;3;0.4;-31.05
37;CA-2020-115791;16/01/2020;18/01/2020;Second Class;DL-13315;Consumer;19134;OFF-BI-10001575;18.588;2;0.7;-13.6312
38;CA-2020-115791;16/01/2020;18/01/2020;Second Class;DL-13315;Consumer;19134;OFF-LA-10001074;30.072;3;0.2;10.1493
39;CA-2020-123477;18/01/2020;21/01/2020;Second Class;DW-13195;Corporate;97477;OFF-AP-10000692;64.864;4;0.2;6.4864
40;CA-2020-146591;19/01/2020;20/01/2020;First Class;TS-21340;Consumer;85254;OFF-BI-10003676;32.34;10;0.7;-23.716
41;CA-2020-146591;19/01/2020;20/01/2020;First Class;TS-21340;Consumer;85254;OFF-PA-10000659;56.064;4;0.2;19.6224
42;CA-2020-146591;19/01/2020;20/01/2020;First Class;TS-21340;Consumer;85254;OFF-EN-10002504;108.72;5;0.2;36.693
43;CA-2020-146591;19/01/2020;20/01/2020;First Class;TS-21340;Consumer;85254;FUR-BO-10001972;181.47;5;0.7;-320.597
44;CA-2020-148614;20/01/2020;25/01/2020;Standard Class;MV-17485;Consumer;90049;OFF-PA-10002893;19.36;2;0.0;9.2928
45;CA-2020-148614;20/01/2020;25/01/2020;Standard Class;MV-17485;Consumer;90049;FUR-FU-10003194;19.3;2;0.0;5.79
46;CA-2020-167927;20/01/2020;26/01/2020;Standard Class;XP-21865;Consumer;48185;OFF-ST-10000760;13.98;1;0.0;4.0542
47;CA-2020-167927;20/01/2020;26/01/2020;Standard Class;XP-21865;Consumer;48185;FUR-FU-10002918;272.94;3;0.0;30.0234
48;CA-2020-167927;20/01/2020;26/01/2020;Standard Class;XP-21865;Consumer;48185;OFF-BI-10000605;19.05;5;0.0;8.9535
49;CA-2020-167927;20/01/2020;26/01/2020;Standard Class;XP-21865;Consumer;48185;OFF-AP-10002311;247.716;4;0.1;93.5816
50;CA-2020-167927;20/01/2020;26/01/2020;Standard Class;XP-21865;Consumer;48185;OFF-ST-10003123;66.58;2;0.0;15.9792
51;CA-2020-167927;20/01/2020;26/01/2020;Standard Class;XP-21865;Consumer;48185;OFF-AR-10004456;43.92;3;0.0;12.7368
52;CA-2020-167927;20/01/2020;26/01/2020;Standard Class;XP-21865;Consumer;48185;FUR-FU-10002268;14.73;3;0.0;4.8609
53;CA-2020-167927;20/01/2020;26/01/2020;Standard Class;XP-21865;Consumer;48185;OFF-BI-10004364;29.7;5;0.0;13.365
54;US-2020-147627;20/01/2020;26/01/2020;Standard Class;HL-15040;Consumer;72401;TEC-PH-10001061;699.93;7;0.0;181.9818
55;US-2020-147627;20/01/2020;26/01/2020;Standard Class;HL-15040;Consumer;72401;OFF-AR-10002375;22.96;7;0.0;6.6584
56;US-2020-147627;20/01/2020;26/01/2020;Standard Class;HL-15040;Consumer;72401;FUR-FU-10003194;38.6;4;0.0;11.58
57;US-2020-147627;20/01/2020;26/01/2020;Standard Class;HL-15040;Consumer;72401;OFF-AR-10003811;6.63;3;0.0;1.7901
58;US-2020-147627;20/01/2020;26/01/2020;Standard Class;HL-15040;Consumer;72401;OFF-EN-10001539;23.34;3;0.0;10.9698
59;US-2020-147627;20/01/2020;26/01/2020;Standard Class;HL-15040;Consumer;72401;FUR-CH-10002331;1067.94;3;0.0;224.2674
60;US-2020-147774;20/01/2020;26/01/2020;Standard Class;MM-18280;Corporate;37167;OFF-BI-10003091;67.194;1;0.7;-51.5154
61;CA-2020-110422;21/01/2020;23/01/2020;Second Class;TB-21400;Consumer;33180;FUR-FU-10001889;25.248;3;0.2;4.1028
62;CA-2020-102645;23/01/2020;28/01/2020;Standard Class;IM-15055;Consumer;89115;OFF-PA-10001804;40.08;6;0.0;19.2384
63;CA-2020-146997;23/01/2020;27/01/2020;Standard Class;SG-20605;Consumer;47905;OFF-FA-10003467;5.94;3;0.0;0.0
64;CA-2020-167997;26/01/2020;29/01/2020;First Class;CA-11965;Corporate;57701;OFF-BI-10001758;10.68;2;0.0;5.0196
65;CA-2020-167997;26/01/2020;29/01/2020;First Class;CA-11965;Corporate;57701;FUR-BO-10004409;141.96;2;0.0;39.7488
66;US-2020-155502;26/01/2020;31/01/2020;Standard Class;SD-20485;Home Office;22304;FUR-FU-10004587;62.82;3;0.0;30.7818
67;US-2020-155502;26/01/2020;31/01/2020;Standard Class;SD-20485;Home Office;22304;OFF-ST-10004337;489.92;8;0.0;0.0
68;US-2020-155502;26/01/2020;31/01/2020;Standard Class;SD-20485;Home Office;22304;OFF-PA-10003072;19.44;3;0.0;9.3312
69;US-2020-155502;26/01/2020;31/01/2020;Standard Class;SD-20485;Home Office;22304;OFF-PA-10000380;16.68;2;0.0;8.34
70;US-2020-155502;26/01/2020;31/01/2020;Standard Class;SD-20485;Home Office;22304;TEC-PH-10004833;155.35;13;0.0;0.0
71;US-2020-155502;26/01/2020;31/01/2020;Standard Class;SD-20485;Home Office;22304;FUR-FU-10001847;12.42;3;0.0;4.4712
72;US-2020-155502;26/01/2020;31/01/2020;Standard Class;SD-20485;Home Office;22304;TEC-PH-10002103;187.98;2;0.0;52.6344
73;US-2020-117163;27/01/2020;02/02/2020;Standard Class;EJ-13720;Consumer;92037;OFF-ST-10003692;57.23;1;0.0;14.3075
74;US-2020-117163;27/01/2020;02/02/2020;Standard Class;EJ-13720;Consumer;92037;FUR-TA-10003469;333.0;3;0.2;-16.65
75;US-2020-117163;27/01/2020;02/02/2020;Standard Class;EJ-13720;Consumer;92037;OFF-AR-10003179;36.44;4;0.0;12.0252
76;CA-2020-100328;28/01/2020;03/02/2020;Standard Class;JC-15340;Consumer;10024;OFF-BI-10000343;3.928;1;0.2;1.3257
77;CA-2020-134103;30/01/2020;04/02/2020;Standard Class;MV-18190;Consumer;48234;OFF-PA-10001204;10.56;2;0.0;4.752
78;CA-2020-134103;30/01/2020;04/02/2020;Standard Class;MV-18190;Consumer;48234;OFF-ST-10000991;229.94;2;0.0;6.8982
79;CA-2020-115161;31/01/2020;02/02/2020;First Class;LC-17050;Consumer;92691;FUR-BO-10003966;290.666;2;0.15;3.4196
80;CA-2020-140795;01/02/2020;03/02/2020;First Class;BD-11500;Consumer;54302;TEC-AC-10001432;468.9;6;0.0;206.316
81;CA-2020-123400;02/02/2020;09/02/2020;Standard Class;EB-13930;Consumer;33710;OFF-BI-10000666;18.336;2;0.7;-12.224
82;CA-2020-123400;02/02/2020;09/02/2020;Standard Class;EB-13930;Consumer;33710;TEC-PH-10002890;180.96;5;0.2;13.572
83;CA-2020-139857;02/02/2020;06/02/2020;Standard Class;CD-12790;Home Office;92037;OFF-FA-10001843;12.35;5;0.0;5.8045
84;CA-2020-111059;03/02/2020;06/02/2020;Second Class;TB-21400;Consumer;98105;OFF-BI-10004593;83.84;2;0.2;27.248
85;CA-2020-111059;03/02/2020;06/02/2020;Second Class;TB-21400;Consumer;98105;OFF-BI-10002827;13.272;3;0.2;4.3134
86;CA-2020-104808;04/02/2020;08/02/2020;Second Class;MH-17440;Corporate;92025;OFF-BI-10003676;17.248;2;0.2;6.0368
87;CA-2020-107181;04/02/2020;08/02/2020;Standard Class;DB-13270;Home Office;92024;OFF-BI-10004230;82.896;3;0.2;29.0136
88;CA-2020-107181;04/02/2020;08/02/2020;Standard Class;DB-13270;Home Office;92024;OFF-PA-10000350;34.24;4;0.0;16.0928
89;CA-2020-108182;06/02/2020;10/02/2020;Second Class;DL-13315;Consumer;60441;OFF-BI-10001196;8.952;2;0.8;-14.7708
90;CA-2020-131905;06/02/2020;09/02/2020;First Class;ND-18460;Corporate;23320;OFF-LA-10002787;15.0;4;0.0;7.2
91;CA-2020-131905;06/02/2020;09/02/2020;First Class;ND-18460;Corporate;23320;TEC-PH-10003645;161.61;1;0.0;42.0186
92;CA-2020-131905;06/02/2020;09/02/2020;First Class;ND-18460;Corporate;23320;TEC-PH-10001615;144.95;5;0.0;42.0355
93;CA-2020-107755;07/02/2020;12/02/2020;Standard Class;CK-12760;Corporate;7036;TEC-AC-10000710;115.36;7;0.0;49.6048
94;US-2020-169390;07/02/2020;10/02/2020;Second Class;CS-12250;Corporate;10024;OFF-ST-10001558;64.96;4;0.0;9.744
95;CA-2020-125759;08/02/2020;09/02/2020;First Class;NM-18445;Home Office;89031;FUR-FU-10002111;14.56;2;0.0;5.5328
96;CA-2020-127614;11/02/2020;15/02/2020;Standard Class;NF-18385;Consumer;23320;TEC-AC-10001432;234.45;3;0.0;103.158
97;CA-2020-127614;11/02/2020;15/02/2020;Standard Class;NF-18385;Consumer;23320;FUR-TA-10003715;1256.22;6;0.0;75.3732
98;CA-2020-127614;11/02/2020;15/02/2020;Standard Class;NF-18385;Consumer;23320;OFF-BI-10003291;17.46;2;0.0;8.2062
99;CA-2020-168368;11/02/2020;15/02/2020;Second Class;GA-14725;Consumer;65203;FUR-CH-10001146;60.89;1;0.0;15.2225
100;CA-2020-168368;11/02/2020;15/02/2020;Second Class;GA-14725;Consumer;65203;OFF-LA-10004853;14.94;3;0.0;6.8724
101;CA-2020-168368;11/02/2020;15/02/2020;Second Class;GA-14725;Consumer;65203;OFF-BI-10004728;9.64;2;0.0;4.4344
102;CA-2020-168368;11/02/2020;15/02/2020;Second Class;GA-14725;Consumer;65203;FUR-FU-10002298;332.94;3;0.0;53.2704
103;CA-2020-168368;11/02/2020;15/02/2020;Second Class;GA-14725;Consumer;65203;OFF-BI-10004654;51.9;3;0.0;24.393
104;CA-2020-168368;11/02/2020;15/02/2020;Second Class;GA-14725;Consumer;65203;OFF-ST-10002583;64.96;2;0.0;2.5984
105;US-2020-110674;12/02/2020;18/02/2020;Standard Class;SC-20095;Consumer;94521;FUR-CH-10000225;129.568;2;0.2;-24.294
106;CA-2020-107706;14/02/2020;19/02/2020;Second Class;ST-20530;Consumer;77095;OFF-PA-10000466;16.176;3;0.2;6.066
107;CA-2020-121762;14/02/2020;18/02/2020;Standard Class;ML-17395;Corporate;98103;TEC-AC-10000736;239.97;3;0.0;86.3892
108;CA-2020-121762;14/02/2020;18/02/2020;Standard Class;ML-17395;Corporate;98103;OFF-AP-10001293;81.96;2;0.0;22.9488
109;CA-2020-121762;14/02/2020;18/02/2020;Standard Class;ML-17395;Corporate;98103;OFF-SU-10000157;238.62;2;0.0;4.7724
110;CA-2020-165568;15/02/2020;19/02/2020;Standard Class;BF-11020;Corporate;98105;OFF-BI-10001031;21.36;5;0.2;7.209
111;CA-2020-122567;16/02/2020;21/02/2020;Standard Class;MN-17935;Consumer;75220;OFF-BI-10002012;1.08;3;0.8;-1.728
112;CA-2020-122567;16/02/2020;21/02/2020;Standard Class;MN-17935;Consumer;75220;OFF-AP-10001303;7.96;2;0.8;-13.93
113;CA-2020-154165;17/02/2020;24/02/2020;Standard Class;DL-13315;Consumer;60653;OFF-AR-10003631;54.208;14;0.2;8.8088
114;CA-2020-152905;18/02/2020;24/02/2020;Standard Class;AB-10015;Consumer;76017;OFF-ST-10000321;12.624;2;0.2;-2.5248
115;US-2020-165589;18/02/2020;18/02/2020;Same Day;TB-21595;Consumer;79424;FUR-FU-10002396;25.16;5;0.6;-11.322
116;CA-2020-109491;20/02/2020;26/02/2020;Standard Class;LC-16930;Corporate;47374;TEC-AC-10001284;62.31;3;0.0;22.4316
117;CA-2020-109491;20/02/2020;26/02/2020;Standard Class;LC-16930;Corporate;47374;FUR-FU-10000221;20.32;4;0.0;6.9088
118;CA-2020-164903;20/02/2020;24/02/2020;Standard Class;SR-20740;Home Office;90049;OFF-PA-10003363;12.96;2;0.0;6.2208
119;CA-2020-165540;21/02/2020;25/02/2020;Standard Class;TM-21010;Consumer;60098;OFF-BI-10004094;8.85;5;0.8;-13.7175
120;CA-2020-133354;22/02/2020;24/02/2020;First Class;SA-20830;Consumer;92553;OFF-PA-10001800;19.44;3;0.0;9.3312
121;CA-2020-103744;23/02/2020;27/02/2020;Standard Class;MG-17875;Home Office;79907;OFF-LA-10004425;6.936;3;0.2;2.3409
122;CA-2020-103744;23/02/2020;27/02/2020;Standard Class;MG-17875;Home Office;79907;OFF-BI-10000320;4.428;3;0.8;-6.8634
123;US-2020-137680;24/02/2020;02/03/2020;Standard Class;JH-15430;Consumer;97504;OFF-PA-10000174;32.896;4;0.2;11.1024
124;US-2020-137680;24/02/2020;02/03/2020;Standard Class;JH-15430;Consumer;97504;OFF-PA-10000069;22.776;3;0.2;7.6869
125;CA-2020-156545;27/02/2020;03/03/2020;First Class;JS-16030;Consumer;43229;OFF-AR-10003560;19.456;4;0.2;3.4048
126;CA-2020-104269;01/03/2020;06/03/2020;Second Class;DB-13060;Consumer;98115;FUR-CH-10004063;457.568;2;0.2;51.4764
127;CA-2020-113880;01/03/2020;05/03/2020;Standard Class;VF-21715;Home Office;60126;FUR-CH-10000863;634.116;6;0.3;-172.1172
128;CA-2020-113880;01/03/2020;05/03/2020;Standard Class;VF-21715;Home Office;60126;OFF-PA-10003036;17.472;3;0.2;5.6784
129;CA-2020-131009;01/03/2020;05/03/2020;Standard Class;SC-20380;Consumer;79907;OFF-FA-10004395;18.84;5;0.2;-3.5325
130;CA-2020-131009;01/03/2020;05/03/2020;Standard Class;SC-20380;Consumer;79907;FUR-CH-10001270;362.25;6;0.3;0.0
131;CA-2020-131009;01/03/2020;05/03/2020;Standard Class;SC-20380;Consumer;79907;FUR-FU-10001095;63.552;6;0.6;-34.9536
132;CA-2020-131009;01/03/2020;05/03/2020;Standard Class;SC-20380;Consumer;79907;OFF-ST-10001469;129.552;3;0.2;-22.6716
133;CA-2020-168312;01/03/2020;07/03/2020;Standard Class;GW-14605;Consumer;77036;OFF-ST-10003692;137.352;3;0.2;8.5845
134;CA-2020-168312;01/03/2020;07/03/2020;Standard Class;GW-14605;Consumer;77036;FUR-TA-10001866;376.509;3;0.3;-43.0296
135;US-2020-143707;01/03/2020;05/03/2020;Standard Class;HR-14770;Home Office;10035;TEC-PH-10003655;5.94;3;0.0;1.6038
136;CA-2020-107524;02/03/2020;08/03/2020;Standard Class;KN-16705;Home Office;10009;OFF-EN-10001990;11.36;2;0.0;5.3392
137;CA-2020-107524;02/03/2020;08/03/2020;Standard Class;KN-16705;Home Office;10009;OFF-PA-10000587;36.4;5;0.0;17.472
138;CA-2020-111157;02/03/2020;06/03/2020;Standard Class;NH-18610;Corporate;19120;OFF-PA-10000327;3.424;1;0.2;1.07
139;CA-2020-111157;02/03/2020;06/03/2020;Standard Class;NH-18610;Corporate;19120;TEC-AC-10004353;151.2;3;0.2;32.13
140;CA-2020-105648;03/03/2020;07/03/2020;Standard Class;EJ-14155;Consumer;92037;FUR-TA-10002958;626.352;3;0.2;-23.4882
141;CA-2020-127964;03/03/2020;08/03/2020;Standard Class;AP-10720;Home Office;10035;TEC-PH-10004700;9.99;1;0.0;4.5954
142;CA-2020-127964;03/03/2020;08/03/2020;Standard Class;AP-10720;Home Office;10035;OFF-BI-10004593;125.76;3;0.2;40.872
143;CA-2020-127964;03/03/2020;08/03/2020;Standard Class;AP-10720;Home Office;10035;OFF-BI-10003429;25.32;5;0.2;9.1785
144;CA-2020-130421;03/03/2020;07/03/2020;Standard Class;SC-20020;Consumer;77095;OFF-AP-10002534;176.772;3;0.8;-459.6072
145;CA-2020-155852;03/03/2020;07/03/2020;Second Class;AJ-10945;Consumer;28403;OFF-AR-10003560;19.456;4;0.2;3.4048
146;US-2020-127978;03/03/2020;08/03/2020;Standard Class;JS-15595;Corporate;43229;OFF-LA-10000305;15.12;3;0.2;4.914
147;US-2020-127978;03/03/2020;08/03/2020;Standard Class;JS-15595;Corporate;43229;FUR-BO-10001972;302.45;5;0.5;-199.617
148;US-2020-127978;03/03/2020;08/03/2020;Standard Class;JS-15595;Corporate;43229;OFF-ST-10002486;44.672;8;0.2;-10.0512
149;CA-2020-116239;04/03/2020;04/03/2020;Same Day;CL-12565;Consumer;29203;OFF-ST-10001370;354.9;5;0.0;17.745
150;CA-2020-117016;04/03/2020;09/03/2020;Standard Class;SC-20095;Consumer;33063;OFF-AR-10001374;15.552;3;0.2;2.3328
151;CA-2020-169061;05/03/2020;08/03/2020;Second Class;AB-10150;Consumer;10701;OFF-AR-10000588;59.52;3;0.0;15.4752
152;CA-2020-169061;05/03/2020;08/03/2020;Second Class;AB-10150;Consumer;10701;TEC-AC-10002001;479.97;3;0.0;177.5889
153;CA-2020-169061;05/03/2020;08/03/2020;Second Class;AB-10150;Consumer;10701;OFF-SU-10000381;18.62;2;0.0;5.3998
154;CA-2020-169061;05/03/2020;08/03/2020;Second Class;AB-10150;Consumer;10701;OFF-BI-10001617;49.632;6;0.2;16.7508
155;CA-2020-169061;05/03/2020;08/03/2020;Second Class;AB-10150;Consumer;10701;OFF-PA-10001878;97.82;2;0.0;45.9754
156;CA-2020-104563;07/03/2020;12/03/2020;Standard Class;CM-12715;Corporate;98103;OFF-AR-10000390;20.65;5;0.0;9.499
157;CA-2020-104563;07/03/2020;12/03/2020;Standard Class;CM-12715;Corporate;98103;OFF-ST-10000934;204.9;5;0.0;0.0
158;CA-2020-104563;07/03/2020;12/03/2020;Standard Class;CM-12715;Corporate;98103;FUR-CH-10002780;436.704;6;0.2;21.8352
159;CA-2020-104563;07/03/2020;12/03/2020;Standard Class;CM-12715;Corporate;98103;FUR-CH-10004495;481.568;2;0.2;54.1764
160;CA-2020-156587;07/03/2020;08/03/2020;First Class;AB-10015;Consumer;98103;FUR-CH-10004477;48.712;1;0.2;5.4801
161;CA-2020-156587;07/03/2020;08/03/2020;First Class;AB-10015;Consumer;98103;OFF-AR-10001427;17.94;3;0.0;4.6644
162;CA-2020-156587;07/03/2020;08/03/2020;First Class;AB-10015;Consumer;98103;OFF-ST-10002344;242.94;3;0.0;4.8588
163;US-2020-131982;07/03/2020;11/03/2020;Second Class;NP-18685;Home Office;98198;OFF-BI-10004224;107.648;2;0.2;33.64
164;US-2020-100279;10/03/2020;14/03/2020;Standard Class;SW-20275;Consumer;48073;OFF-PA-10002259;22.38;2;0.0;10.7424
165;US-2020-140116;10/03/2020;17/03/2020;Standard Class;KT-16480;Consumer;80219;OFF-ST-10000078;636.408;3;0.2;-15.9102
166;US-2020-140116;10/03/2020;17/03/2020;Standard Class;KT-16480;Consumer;80219;OFF-AR-10001044;83.168;4;0.2;9.3564
167;CA-2020-114790;11/03/2020;13/03/2020;Second Class;FM-14215;Corporate;40475;OFF-AP-10002578;146.76;3;0.0;38.1576
168;CA-2020-114790;11/03/2020;13/03/2020;Second Class;FM-14215;Corporate;40475;TEC-AC-10000710;32.96;2;0.0;14.1728
169;CA-2020-114790;11/03/2020;13/03/2020;Second Class;FM-14215;Corporate;40475;TEC-PH-10000984;587.97;3;0.0;164.6316
170;CA-2020-114790;11/03/2020;13/03/2020;Second Class;FM-14215;Corporate;40475;OFF-PA-10000213;14.94;3;0.0;7.0218
171;CA-2020-158337;11/03/2020;14/03/2020;Second Class;KA-16525;Consumer;10024;OFF-PA-10002137;108.92;14;0.0;49.014
172;CA-2020-166884;11/03/2020;16/03/2020;Second Class;CK-12205;Consumer;43229;FUR-FU-10003981;8.32;5;0.2;2.288
173;CA-2020-166884;11/03/2020;16/03/2020;Second Class;CK-12205;Consumer;43229;OFF-FA-10001561;10.464;6;0.2;1.7004
174;US-2020-103338;11/03/2020;15/03/2020;Standard Class;RB-19435;Consumer;95661;OFF-AR-10001770;7.98;3;0.0;2.0748
175;CA-2020-100293;14/03/2020;18/03/2020;Standard Class;NF-18475;Home Office;32216;OFF-PA-10000176;91.056;6;0.2;31.8696
176;CA-2020-114510;14/03/2020;19/03/2020;Standard Class;JF-15295;Consumer;84321;OFF-BI-10001617;33.088;4;0.2;11.1672
177;CA-2020-114510;14/03/2020;19/03/2020;Standard Class;JF-15295;Consumer;84321;OFF-ST-10000736;80.98;1;0.0;3.2392
178;CA-2020-114510;14/03/2020;19/03/2020;Standard Class;JF-15295;Consumer;84321;TEC-AC-10004877;82.8;12;0.0;6.624
179;CA-2020-114510;14/03/2020;19/03/2020;Standard Class;JF-15295;Consumer;84321;OFF-ST-10003221;21.36;2;0.0;5.7672
180;CA-2020-114510;14/03/2020;19/03/2020;Standard Class;JF-15295;Consumer;84321;OFF-BI-10003007;62.048;2;0.2;20.1656
181;CA-2020-152618;14/03/2020;17/03/2020;First Class;RB-19465;Home Office;60653;TEC-MA-10003626;574.91;2;0.3;156.047
182;CA-2020-152618;14/03/2020;17/03/2020;First Class;RB-19465;Home Office;60653;OFF-PA-10001215;8.448;2;0.2;2.64
183;CA-2020-157623;14/03/2020;18/03/2020;Standard Class;DK-13225;Corporate;92646;OFF-PA-10001204;10.56;2;0.0;4.752
184;CA-2020-157623;14/03/2020;18/03/2020;Standard Class;DK-13225;Corporate;92646;OFF-AR-10003723;3.38;1;0.0;1.2506
185;US-2020-125521;14/03/2020;19/03/2020;Standard Class;CK-12325;Home Office;23320;FUR-CH-10003379;1139.92;4;0.0;284.98
186;CA-2020-149958;15/03/2020;19/03/2020;Standard Class;AS-10240;Consumer;33614;OFF-ST-10001490;142.776;1;0.2;17.847
187;CA-2020-149958;15/03/2020;19/03/2020;Standard Class;AS-10240;Consumer;33614;FUR-FU-10001756;45.696;3;0.2;5.1408
188;CA-2020-149958;15/03/2020;19/03/2020;Standard Class;AS-10240;Consumer;33614;OFF-BI-10000773;7.218;3;0.7;-5.5338
189;CA-2020-149958;15/03/2020;19/03/2020;Standard Class;AS-10240;Consumer;33614;OFF-BI-10001543;43.188;4;0.7;-31.6712
190;CA-2020-149958;15/03/2020;19/03/2020;Standard Class;AS-10240;Consumer;33614;OFF-PA-10002120;131.904;3;0.2;47.8152
191;CA-2020-157609;16/03/2020;21/03/2020;Second Class;KN-16705;Home Office;27604;TEC-PH-10002415;471.92;2;0.2;29.495
192;CA-2020-118339;17/03/2020;24/03/2020;Standard Class;BN-11515;Consumer;55044;OFF-AP-10001154;93.78;2;0.0;36.5742
193;CA-2020-118339;17/03/2020;24/03/2020;Standard Class;BN-11515;Consumer;55044;OFF-PA-10000466;47.18;7;0.0;23.59
194;CA-2020-118339;17/03/2020;24/03/2020;Standard Class;BN-11515;Consumer;55044;OFF-AR-10003829;19.68;6;0.0;5.7072
195;CA-2020-118339;17/03/2020;24/03/2020;Standard Class;BN-11515;Consumer;55044;OFF-BI-10001758;53.4;10;0.0;25.098
196;CA-2020-118339;17/03/2020;24/03/2020;Standard Class;BN-11515;Consumer;55044;OFF-BI-10000136;35.88;6;0.0;17.2224
197;CA-2020-127859;17/03/2020;20/03/2020;Second Class;QJ-19255;Corporate;19134;OFF-PA-10003641;126.624;6;0.2;41.1528
